Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
bosswireless-uat-utils-dummy-load-testing:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:116,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:106,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-promo-handler:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:124,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:115,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-vault-agent:2,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-employee-plan:9,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-consul-agent:5,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:121,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:142,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-employee-plan:10,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-utils-vault-agent:2,bosswireless-uat-utils,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:147,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:137,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-bi-gateway:3,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:119,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
app/bosswireless-uat-utils-alb/2bf96b267ca49071,bosswireless-uat-utils-alb,ElasticLoadBalancingV2,LoadBalancer,us-east-1,13,team_boss_wireless
mvno-20210601064455233500000001/ae6f1ea811b548bc,bosswireless-prod-mvno-usage-import-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210524095333203100000002/f151b3a5146da92e,bosswireless-prod-mvno-account-services-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
spiff20210510081451227000000002/f84b37a7efcbe33d,bosswireless-uat-spiffy-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
omni-20220603143513371400000001/b3472d1f7e1810ef,bosswireless-uat-utils-omni-validator-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
clust20210503164717346300000002/ed1ce84bcbb7438c,bosswireless-uat-cluster-monitor-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
dummy20220603135315239700000001/55c9733a13bed6aa,bosswireless-uat-utils-dummy-load-testing-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
torch20210525062922454800000001/b76fadf87057319c,bosswireless-prod-torchwood-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
custo20210803083001987200000002/cd9d59d0d25ff9ee,bosswireless-prod-customer-tier-switcher-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210510083733900400000001/f8672dfa9f311342,bosswireless-uat-mvno-account-services-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
promo20221124153027562400000001/11cc50fb07eb0bfc,bosswireless-uat-promo-handler-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
